en_word,uk_word
the,з
and,і
for,для
that,що
this,це
with,з
you,ви
not,не
are,є
from,з
your,ваш
all,все
have,мати
new,новачок
more,більше
was,був
will,воля
home,домашній
can,банк
about,про
page,сторінка
has,мати
search,обшук
free,безкоштовний
but,але
our,наш
one,один
other,інший
information,інформація
time,час
they,Вони
site,ділянка
may,може
what,що
which,котрий
their,їх
news,новини
out,поза
use,використання
any,будь -який
there,там
see,побачити
only,єдиний
his,його
when,коли
contact,контакт
here,ось
business,бізнес
who,ВООЗ
web,павутина
also,також
now,тепер
help,допомога
get,отримати
view,переглянути
online,в Інтернеті
first,перший
been,був
would,б
how,як
were,були
services,послуги
some,дещо
these,ці
click,клацати
its,його
like,люблю
service,послуга
than,ніж
find,знаходити
price,ціна
date,дата
back,спинка
top,топ
people,Люди
had,мав
list,список
name,назва
just,просто
over,над
state,держави
year,рік
day,день
into,у
email,електронна пошта
two,два
health,здоров'я
world,світ
next,наступний
used,використаний
work,працювати
last,останній
most,найбільше
products,продукція
music,музика
buy,купувати
data,дані
make,робити
them,їх
should,слід
product,продукт
system,система
post,допис
her,її
city,місто
add,додавання
policy,політика
number,число
such,такий
please,будь ласка
available,доступний
copyright,авторські права
support,підтримка
message,повідомлення
after,після
best,найкраще
software,програмне забезпечення
then,потім
jan,ян
good,добрий
video,відео
well,Ну
where,де
info,інформація
rights,права
public,громадський
books,книги
high,високий
school,школа
through,через
each,кожен
links,посилання
she,вона
review,огляд
years,роки
order,наказ
very,дуже
privacy,приватність
book,книга
items,предмети
company,компанія
read,читати
group,група
sex,секс
need,потреба
many,багато
user,користувач
said,сказаний
does,подавати
set,встановити
under,під
general,загальний
research,дослідження
university,університет
january,січень
mail,пошта
full,наповнений
map,карта
reviews,огляди
program,програма
life,життя
know,знати
games,ігор
way,шлях
days,дні
management,управління
part,розлучатися
could,міг
great,великий
united,об'єднаний
hotel,готель
real,реальний
item,предмет
international,міжнародний
center,центр
ebay,ebay
must,Потрібно
store,магазин
travel,подорожувати
comments,коментарі
made,зроблений
development,розвиток
report,доповідь
off,не вистачати
member,член
details,деталі
line,лінія
terms,умови
before,до
hotels,готелі
did,зробив
send,надсилати
right,право
type,тип
because,оскільки
local,місцевий
those,ті
using,використання
results,результат
office,офіс
education,освіта
national,національний
car,машина
design,дизайн
take,брати
posted,опублікований
internet,Інтернет
address,адреса
community,спільнота
within,у межах
states,держави
area,область
want,бажати
phone,телефон
dvd,DVD
shipping,Доставка
reserved,зарезервований
subject,предмет
between,між
forum,форум
family,сім'я
long,довго
based,заснований
code,кодування
show,показувати
even,навіть
black,чорний
check,перевіряти
special,спеціальний
prices,ціни
website,веб -сайт
index,індекс
being,буття
women,жінки
much,багато
sign,підписувати
file,файл
link,зв'язок
open,ВІДЧИНЕНО
today,сьогодні
technology,технологія
south,південь
case,випадок
project,демонструвати
same,однаковий
pages,сторінки
version,версія
section,розділ
own,власний
found,знайдений
sports,спорт
house,будинок
related,пов'язаний
security,безпека
both,обидва
county,графство
american,американський
photo,фото
game,грі
members,члени
power,влада
while,в той час
care,турбота
network,мережа
down,вниз
computer,комп'ютер
systems,системи
three,три
total,загальний
place,місце
end,кінець
following,наступний
download,завантажувати
him,його
without,без
per,за
access,доступ
think,думати
north,північ
resources,ресурси
current,поточний
posts,дописи
big,великий
media,ЗМІ
law,закон
control,КОНТРОЛЬ
water,вода
history,історія
pictures,картинки
size,розмір
art,мистецтво
personal,особистий
since,з тих пір
including,включаючи
guide,керівництво
shop,магазин
directory,довідник
board,дошка
location,Місцезнаходження
change,зміна
white,білий
text,текст
small,невеликий
rating,рейтинг
rate,оцінювати
government,уряд
children,дітям
during,протягом
usa,США
return,повернення
students,студенти
shopping,покупки
account,рахунок
times,час
sites,майданчик
level,рівень
digital,цифровий
profile,профіл
previous,Попередній
form,форма
events,події
love,любов
old,старий
john,Іван
main,головний
call,закликати
hours,годинник
image,зображення
department,департамент
title,титул
description,опис
non,нерозумний
insurance,страхування
another,інший
why,чому
shall,має
property,майно
class,клас
still,нерухомий
money,гроші
quality,якість
every,кожен
listing,список
content,зміст
country,країна
private,приватний
little,мало
visit,відвідувати
save,заощадити
tools,інструменти
low,низький
reply,відповідати
customer,замовник
december,Грудень
compare,порівнювати
movies,фільми
include,включати
college,коледж
value,цінність
article,стаття
york,Йорк
man,людина
card,карта
jobs,робота
provide,надати
food,їжа
source,джерело
author,автор
different,інший
press,пресувати
